hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
51 Peg,,,,,,,,,,,
51 Peg,G2.5 IV,5793,1.2,1.12,0.2,,4.33,4,,2,
51 Peg,G0,,,,,,,,,,
51 Peg,,,,,,,,,,2,
51 Peg,,5786,,,0.2,,4.34,,,,
55 Cnc,,5172,0.94,0.91,0.35,,4.43,,,1.23,38.8
55 Cnc,G8V,5235,0.93,0.96,0.31,-0.18,4.48,9.5,,,
55 Cnc,K0 IV-V,5196,0.94,0.91,0.31,-0.235,4.45,10.2,,,
55 Cnc,K0 IV-V,,,,,,,,,,
55 Cnc,,5250,0.96,0.9,0.35,-0.197,4.42,,1.4185,,
55 Cnc,,,,0.95,,,,,,,
55 Cnc,,,,,,,,,,3.3,
55 Cnc,,,,,,,,,,,
55 Cnc,,5234,0.94,0.91,0.31,,4.45,,,,
55 Cnc,,5317.89,0.96,0.97,0.383,,4.46,,,,
55 Cnc,,,,,,,,,,,
55 Cnc,K0 IV-V,,,,,,,,,,
55 Cnc,,5334,,,0.42,,4.58,,,,
55 Cnc,G8 V,,,0.95,0.27,,,5.5,,,38.5
55 Cnc,G8 V,5200,,0.85,0.23,,4.5,5,,2,44
55 Cnc,,,0.98,1.01,,,,,1.5212,,
55 Cnc,,,0.93,0.96,,,4.48,7.24,,,
55 Cnc,,5306,0.95,,,-0.194,,,,,
55 Cnc,,,,0.95,,,,,,,
55 Cnc,K0,,,,,,,,,,
55 Cnc,,5307,,0.88,0.35,,4.58,,,,
55 Cnc,,5172,0.95,0.87,0.35,,4.43,,1.41,,
55 Cnc,,5250,0.96,,,,4.42,,,,
55 Cnc,,,,,,,,,,,
55 Cnc,,,,,,,,,,2.5,
55 Cnc,G8 V,,0.94,0.96,,,,,,,
55 Cnc B,,3187,0.29,0.26,,-2.108,4.94,,15.368,,
6 Lyn,,4938,5.16,,-0.01,,,,,,
6 Lyn,,5000,5.05,,,1.156,,,,,
6 Lyn,,4938,5.2,1.44,,,3.19,,,,
6 Lyn,,5022,4.83,1.56,-0.1,,3.15,2.353,,,
6 Lyn,,,5.2,1.82,,,,,,,
6 Lyn,K0 IV,4978,5.2,1.7,-0.13,1.176,3.16,,,1.32,
6 Lyn,G5,,,,,,,,,,
6 Lyn,,,,,,,,,,,
6 Lyn,K0 III-IV,4689,6.1,1.3,0.17,,,4,,,
6 Lyn,K0 IV,4941,4.94,1.32,-0.17,1.119,3.16,,,,
61 Vir,,,,,,,,,,2.2,
61 Vir,,,,,,,,,,,
61 Vir,G5V,5571,0.98,0.94,0.05,-0.06,4.45,8.96,,,
61 Vir,G7 V,5538,0.99,0.93,0.01,-0.085,,8.6,,,
61 Vir,,,,,,,,,,,
61 Vir,,,,,,,,,,,
61 Vir,G7 V,,,,,,,,,,
61 Vir,,,,,,,,,,2.2,
61 Vir,,5562,0.98,0.98,-0.03,-0.078,4.44,,1.4493,,
61 Vir,,,,,,,,,,,
61 Vir,G5,,,,,,,,,,
61 Vir,,,,,,,,,,,
61 Vir,,5915.33,0.89,,,-0.063,,,,,
61 Vir,,,,,,,,,,,
61 Vir,,,,,,,,,,2,
61 Vir,,,,,,,,,,,
61 Vir,,,,,,,,,,,
61 Vir,,,,,,,,,,,
61 Vir,G5 V,,,,,,,,,,
61 Vir,,,,,,,,,,,
61 Vir,,5579,,,-0.02,,4.51,,,,
61 Vir,G5 V,5577,0.96,0.94,-0.01,-0.095,4.34,8.96,,1.9,
61 Vir,,,,,,,,,,,
61 Vir,,,,,,,,7.96,,,
61 Vir,,5585.57,1.03,0.91,0.028,,4.37,,,,
61 Vir,,5558,,0.88,-0.02,-0.095,4.36,,,,
61 Vir,,,0.98,0.94,,,4.45,8.96,,,
7 CMa,K1 III (+ M),,,,,,,,,,
7 CMa,K1 III (+ M),,,,,,,,,,
7 CMa,,4794.52,4.91,,0.088,,,,,,
7 CMa,,4761,,1.34,0.21,,3.11,,,,
7 CMa,K0,,,,,,,,,,
7 CMa,K1III(+M),4799,5.01,1.89,,1.079,3.05,,,,
7 CMa,K1 III,4792,2.3,1.52,0.21,1.053,3.25,,,1.15,
7 CMa,,4826,4.87,1.34,0.21,1.063,3.19,4.3,,,
7 CMa,,4735,5.32,,,1.108,,,,,
7 CMa,K1 III,,,,,,,,,,
7 CMa,,,5.2,1.44,,1.121,3.17,,,,
70 Vir,,5500,,,-0.11,,3.94,,,,
70 Vir,,,,,,,,,,2.7,
70 Vir,,5481.86,1.92,1.06,-0.04,,3.89,,,,
70 Vir,G5V,5545,1.88,1.1,-0.01,0.501,3.96,7.92,,,
70 Vir,,,,,,,,,,,
70 Vir,G0,,,,,,,,,,
70 Vir,,5530,,0.92,-0.05,,4.05,,,,
70 Vir,,5439,1.94,1.09,-0.09,0.451,3.9,7.77,,1.56,
70 Vir,,,,,,,,,,,
70 Vir,,,,,,,,,,,
70 Vir,,,,,,,,,,3,
70 Vir,,,,,,,,,,1,
70 Vir,,,,,,,,,,,
70 Vir,,,1.88,1.1,,,3.96,7.92,,,
70 Vir,,6245,1.5,,,0.487,,,,,
70 Vir,,5531,1.84,1.14,-0.06,,3.97,,,,
70 Vir,,,,,,,,,,,
70 Vir,,5495,1.89,1.09,,,3.95,,,,
70 Vir,,,,,,,,,,,
70 Vir,,5545,,1.11,-0.012,,4.07,8,,2.68,
70 Vir,G4 V,,,,,,,,,,
70 Vir,,5495,1.92,0.96,-0.07,0.483,3.85,,0.1902,,
75 Cet,,4827.32,10.52,,0.033,,,,,,
75 Cet,K0,,,,,,,,,,
75 Cet,G3 III,4809,10.38,1.92,0.1,1.714,2.69,,,,
75 Cet,G3 III,4846,10.5,2.49,0,1.73,2.63,,,1.77,
75 Cet B,,3710,0.57,0.56,,-1.256,4.68,,4.2797,,
75 Cet,,4904,,2.15,0.02,,2.87,,,,
75 Cet,,4846.25,10.62,,,1.749,,,,,
75 Cet,K1 III,,,,,,,,,,
8 UMi,K0,,,,,,,,,,
8 UMi,,4906,10.15,,,,,,,,
8 UMi,,4921.22,10.03,,,1.725,,,,,
8 UMi,,4847,10.3,1.44,-0.03,,2.57,,,,
8 UMi,K0,4847.4,9.9,1.8,-0.03,,2.57,1.7,,3.6,
81 Cet,G5 III,4734,11.21,1.23,-0.11,1.76,2.41,,,,
81 Cet,G5 III,4785,11,2.4,-0.06,1.778,2.35,,,1.8,
81 Cet,,,,1.6,,,,,,,
81 Cet,K0,,,,,,,,,,
81 Cet,K0 III,,,,,,,,,,
81 Cet,,4829.75,11.43,,,1.806,,,,,
81 Cet,,4844.29,11.29,,0.004,,,,,,
81 Cet,,4845,,1.74,-0.07,,2.45,,,,
91 Aqr,,4658.92,10.39,,-0.016,,,,,,
91 Aqr,,4681,,1.32,0,,2.65,,,,
HD 219449 C,,,,,,,,,,,
HD 219449 B,,,,,,,,,,,
91 Aqr,,,,,,,,,,,
91 Aqr,K0/1 III,,,,,,,,,,
91 Aqr,,4700,10.58,,,1.692,,,,,
91 Aqr,K0,,,,,,,,,,
91 Aqr,K0 III,4665,11,1.4,-0.03,,2.52,3.56,,3.9,
AB Aur,,9770,,2.4,,1.771,,0.003,,,
AB Aur,,7920,2.96,1.9,,1.492,3.77,,0.1033,,
AB Pic,,5068.5,1,,,-0.226,,,,,
AB Pic,K0,,,,,,,,,,
AB Pic,,5027,1.02,0.84,,-0.224,4.35,,1.1201,,
AB Pic,,5378,0.73,0.9,-0.05,-0.4,4.44,1,,,
AB Pic,K2 V,,,,,,,,,,
AB Pic,K2 V,,,,,,,0.03,,,
AB Pic,,5285,,,0.04,,4.53,,,10.35,
AB Pic,,,,,,,,,,12,
AF Lep,F8 V,6130,1.25,1.2,0.19,,,0.024,,50,1.01
AF Lep,F8 V(n) (k),,,,,,,,,,
AF Lep,,,,,,,,,,,
AF Lep,F7/8 V,,,,,,,,,,
AF Lep,F7/8V,6496,1.22,1.27,0.29,0.29,4.37,0.4,,,
AF Lep,F8 V,6140,,1.13,,,,0.024,,,0.97
AF Lep,F5,,,,,,,,,,
AF Lep,,,1.22,1.27,,,4.37,,,,
AF Lep,,6409.37,1.08,1.29,0.29,0.247,4.48,,1.4542,,
AF Lep,,,,,,,,,,54.7,
AF Lep,F8 V,6100,1.25,1.2,,,4.4,0.024,,54.7,
AF Lep,,,,,,,,,,,
AU Mic,,3700,0.75,0.5,,-1.046,,0.022,,8.7,4.86
AU Mic,,,0.7,0.66,,,4.57,,2.7447,,
AU Mic,M1 VE,,,,,,,,,,
AU Mic,,3700,0.75,0.5,,-1.046,4.39,0.022,,7.8,4.86
AU Mic,,,0.75,,,,,,1.67,,4.85
AU Mic,K5,,,,,,,,,,
AU Mic,,,,,,,,,,,4.85
AU Mic,,,,,,,,,,9.23,
AU Mic,M0.0,,,,,,,,,,
AU Mic,,3678,0.74,0.51,0.23,-1.038,4.4,0.02,1.75,,
AU Mic,,3992.36,0.61,,,-1.065,,,,,
AU Mic,M1,3700,0.75,0.5,,-1.046,4.39,0.022,,7.8,4.86
AU Mic,,3665,0.82,0.6,0.12,-0.99,4.52,0.018,,8.5,4.86
AU Mic,,,,0.5,,,,,,,
AU Mic,,3588,0.7,,,,4.6,,,,
AU Mic,,3700,0.75,0.5,,,,0.022,,,4.86
AU Mic,M1VE,3753,0.7,0.54,,-1.046,,,,,
BD+03 2562,,4095,37.76,,,2.558,,,,,
BD+03 2562,,4095,38.83,,-0.71,,,,,,
BD+03 2562,,4095,32.35,1.14,-0.71,2.7,1.89,5.2,,2.7,
BD+14 4559,,4869.17,0.86,,,-0.424,,,,,
BD+14 4559,,4864,0.86,0.79,0.17,-0.425,4.46,,1.7311,,
BD+14 4559,K2 V,5008,0.95,0.86,0.1,-0.32,4.6,,,2.5,
BD+14 4559,,4864,0.86,0.49,0.17,,4.26,,,,
BD+14 4559,,4864,,0.82,0.17,,4.26,,,,
BD+15 2375,,4758.47,10.84,,,1.735,,,,,
